TrmTerm(法律名詞),TrmContent(解釋),JtIds(M：刑事、F：家事、G：一般、V：民事、A：行政)
不當詰問,為避免證人或鑑定人之交互詰問程序，出現無秩序、不當的詰問，浪費時間，延滯訴訟程序，甚或導致虛偽陳述，影響真實之發見，下列事項是屬於不當詰問，原則上應予禁止：(一)與本案及因詰問所顯現之事項無關者。(二)以恫嚇、侮辱、利誘、詐欺或其他不正之方法。(三)抽象不明確的詰問。(四)為不合法的誘導。(五)對假設性事項或無證據支持之事實為之。(六)重覆之詰問。(七)要求證人陳述個人意見或推測、評論。(八)恐證言於證人或與其有第一百八十條第一項關係之人之名譽、信用或財產有重大損害。(九)對證人未親身經歷事項或鑑定人未行鑑定事項為之。,M             
本約,「本約」是指相對於「預約」的概念，「預約」是指預定將來成立一定契約的契約。而「本約」就是履行該「預約」而訂立的契約，本約訂立後即具有拘束力，得請求履行本約，於不履行本約時，可請求債務不履行之損害賠償。,V             
異議之訴,強制執行程序開始後，債務人或第三人如果有強制執行法第14條、第14條之1及第15條所規定的情形（例如：債務已經清償完畢、或遭強制執行的財產為第三人所有，不是債務人所有等），就可以提起異議之訴，請求法院撤銷該強制執行程序。,V             
家宅權,"又稱家主權，是指營造物或機關的首長為維持營造物或機關的秩序，對於妨礙營造物或機關運作的非正常利用情形，所為禁止或排除妨害的權限，目的在於避免遭受不當外力干擾而影響公務進行。
例如：公立圖書館的館長，對於非正常利用營造物的閒雜人員禁止進入辦公處所、或請其離開，如有必要，也可請求警察機關介入協助。 ",A             
矧,「況且」、「何況」的意思。,F             
爰,經、因此、所以、於是。,F             
消極之違背職務,"又稱怠於執行職務，指公務員對人民有應作為的義務而不作為，或未於規定期限內辦理。若因此造成人民權利受有損害，可能構成國家賠償責任。
例如：主管機關依法對特定行業的經營應進行設施的檢查或取締，但該管公務員卻怠於取締非法經營業者。",A             
竊佔罪,指刑法第320條第2項所規定的罪名。行為人如果意圖為自己或第三人不法之利益，而破壞他人對於不動產之監督支配狀態時，就可能構成本罪。例如，將他人的不動產視為己有而私行盜賣，或在他人土地上擅蓋房舍等行為，即可能構成竊佔罪。,M             
任免,任免指任用或免去職務。依我國憲法第41條規定，總統有依法任免文武官員之權。另憲法增修條文第6條規定，考試院掌理公務人員任免的法制事項。「公務人員任用法」規範一般公務人員的任用資格與條件等相關事項，至於司法人員、審計人員、主計人員、關務人員、外交領事人員及警察人員的任用，均另以法律規定。又公務人員於任用後，發生公務人員任用法第28條所定情事者，應予免職或依規定辦理退休、資遣。若是任用後才發現其於任用時就有法定情事，則應該撤銷其任用。,A             
正當防衛,"解釋一：正當防衛本身就是一個侵害行為，但法律上之所以容許這樣的侵害行為存在，是因為情況急迫，已經沒有其他可靠的管道可以保護自己或他人的應有利益。也因此，成立正當防衛的要件甚嚴，必須是行為人對於現在不法的侵害，出於防衛自己或他人權利的意思，在客觀上有時間的急迫性，並具備實施反擊予以排除侵害的必要性，而且所要保護的利益與因為反擊行為所侵害的利益之間，也不能過度失衡，而予以實施防衛行為(反擊)者，才能夠成立正當防衛。
解釋二：個人為了保護自己或別人，對於「正在進行中的違法侵害」採取防衛措施，即使損害了侵害者的利益，也不成立犯罪。由於先發動攻擊的人違反法律，刑法不能要求受到別人違法侵害的人，還要容忍這種不利益，而面臨正在進行中的威脅，受攻擊的人也有保護自己的需求。因此，綜合以上的考量，刑法許可受到非法攻擊的人能夠立即以私人力量反擊。例如：小明持刀在捷運上砍人，老李為了保護自己和其他乘客安全，當下立即以長柄傘與小明對峙，因而造成小明臉部劃傷，老李劃傷小明臉部，雖然表面上像是成立傷害罪，但老李可主張正當防衛的例外阻卻違法事由，仍然不會成立犯罪。首先，防衛者必須面對一個「正在發生的違法侵害行為」，如果防衛者面對攻擊者的合法侵害行為，例如警察依法令逮捕被通緝的毒販，雖然警察侵害了毒販的自由，但這是合法行為，毒販有容忍義務，不能主張正當防衛而反擊警察。此外，攻擊者的侵害必須正在進行中，對於還沒開始或已經結束的侵害行為，都不能夠主張正當防衛。其次，防衛者必須採取有效且影響最小的反擊手段，一般稱之為「必要」的手段。最後，當防衛者面對眼前的狀況，必須知道他陷於侵害者的攻擊中，如果防衛者不知道他正受到別人的違法攻擊，依我國實務及多數學說的見解，當然沒有主張正當防衛的空間。
例如甲在公園持棍棒威脅乙給錢，因為甲正在侵害乙的自由和財產，乙可以撿拾路邊石頭丟向甲來保護自己免受侵犯。不過，如果乙在當下給錢了事，而在數天後才在路上遇到甲，回想數天前甲對自己的種種行為，將甲打昏並取走甲身上的錢，這時候因為侵害已經結束，所以乙的行為便不能夠算是正當防衛。",M             
中間程序,一、中間程序，又稱為開啟程序，是屬於德國刑事訴訟法的起訴審查制。依德國刑事訴訟的進程，案件原則上必須先經偵查程序(前程序)，檢察官提起公訴後自動進入中間程序，再經法院裁定准許後才能進入主審程序(審判程序)。由於職司起訴審查任務的中間程序，具有獨立的程序階段，並且剛好介於偵查和審判程序之間，故有中間程序之名。德國中間程序之設，是要監督檢察官恪遵起訴法定原則，避免檢察官將未達法定門檻的案件濫行起訴，且賦予被告另一個機會對抗檢察官的起訴處分，以免案件進入審判程序後，被告為了應付審判程序的訟累，必須付出相當的時間精力，且嚴重影響被告之人身、家庭及名譽。二、為確實促使檢察官負舉證責任及防止其濫行起訴，基於保障人權之立場，允宜慎重起訴，以免被告遭受不必要之訟累，我國刑事訴訟法亦設有起訴審查制度或稱中間審查制度的機制（刑事訴訟法第161條第2項），即檢察官對於起訴之犯罪事實，應負提出證據及說明之實質舉證責任。如果法院於第一次審判期日前，認為檢察官指出之證明方法顯不足認定被告有成立犯罪之可能時，應以裁定定期通知檢察官補正；逾期未補正者，得以裁定駁回起訴。,M             
考績評定,考績評定是機關長官對所屬人員於年度內表現的考核評量，算是機關的管理措施。依公務人員考績法規定，年終考績要以平時考核為依據，平時考核須就受考人的工作、操行、學識、才能等4個面向來打綜合分數，滿分為100分，並分甲（80分以上）、乙（70分以上，不滿80分）、丙（60分以上，不滿70分）、丁（不滿60分）四等，其相對應的獎懲原則如下︰甲等︰晉本俸1級，並給與1個月俸給總額的獎金；乙等︰晉本俸1級，並給與半個月俸給總額的獎金；丙等︰留原俸級；丁等︰免職。,A             
亦殊,亦不相同,G             
普通強盜罪,刑法之罪名，規定於刑法第328條：「意圖為自己或第三人不法之所有，以強暴、脅迫、藥劑、催眠術或他法，至使不能抗拒，而取他人之物或使其交付者，為強盜罪，處五年以上有期徒刑。以前項方法得財產上不法之利益或使第三人得之者，亦同。犯強盜罪因而致人於死者，處死刑、無期徒刑或十年以上有期徒刑；致重傷者，處無期徒刑或七年以上有期徒刑。第一項及第二項之未遂犯罰之。預備犯強盜罪者，處一年以下有期徒刑、拘役或三千元以下罰金。」,M             
